Name_of_App,Rating,Company,App_Detail_Web_Page_URL
DMSS,"4.3
star","Hangzhou Dong Bin Information Technology Co., Ltd.",https://play.google.com/store/apps/details?id=com.mm.android.DMSS
Paytm: Secure UPI Payments,"4.7
star",Paytm - One97 Communications Ltd.,https://play.google.com/store/apps/details?id=net.one97.paytm
LifeUp: Gamified To Do List,"4.6
star
$3.99",LifeUp Apps,https://play.google.com/store/apps/details?id=net.sarasarasa.lifeup
6000 thoughts | AI Life Coach,"4.1
star",6000thoughts,https://play.google.com/store/apps/details?id=com.slftok.sixthousandthoughts
​​Microsoft Copilot,"4.8
star",Microsoft Corporation,https://play.google.com/store/apps/details?id=com.microsoft.copilot
dubbii: the body doubling app,"4.4
star",ADHD Love,https://play.google.com/store/apps/details?id=com.gravitywell.adhdlove
ADHD Easy-Do your ADHD Planner,,HYPERFOCUS ACADEMY,https://play.google.com/store/apps/details?id=com.hyperfocusacademy.adhdeasydo
Google Docs,"4.2
star",Google LLC,https://play.google.com/store/apps/details?id=com.google.android.apps.docs.editors.docs
TickTick:To Do List & Calendar,"4.6
star",TickTick Limited,https://play.google.com/store/apps/details?id=com.ticktick.task
"Adobe Express: AI Photo, Video","4.6
star",Adobe,https://play.google.com/store/apps/details?id=com.adobe.spark.post
"Music Audio Editor, MP3 Cutter","4.7
star","Video Screen Recorder, Voice Audio Editor, Cut MP3",https://play.google.com/store/apps/details?id=com.tianxingjian.supersound
"Rapido: Bike-Taxi, Auto & Cabs","4.7
star",Rapido Bike Taxi,https://play.google.com/store/apps/details?id=com.rapido.passenger
Super Planner: ADHD Routine AI,"4.6
star",Polestar App Cloner Dev.,https://play.google.com/store/apps/details?id=super.planner.todolist.task.reminder
Timecap care: ADHD Habit Timer,"3.9
star",AppInfluence,https://play.google.com/store/apps/details?id=com.ziggycrane.time
DNS Changer - IPv4 & IPv6,"4.4
star",AppPlanex,https://play.google.com/store/apps/details?id=com.appplanex.dnschanger
Fabulous Daily Routine Planner,"4.2
star",TheFabulous,https://play.google.com/store/apps/details?id=co.thefabulous.app
All PDF Editor & Reader | Xodo,"4.3
star",Apryse Software Inc.,https://play.google.com/store/apps/details?id=com.xodo.pdf.reader
TimeTune - Schedule Planner,"4.6
star",TimeTune Studio,https://play.google.com/store/apps/details?id=com.gmail.jmartindev.timetune
FocusGenie,"3.1
star",FocusGenie,https://play.google.com/store/apps/details?id=com.focusgenie
Blackboard,"3.4
star",Anthology Inc.,https://play.google.com/store/apps/details?id=com.blackboard.android.bbstudent
Focus Dog: Productivity Timer,"4.5
star",Fancy Ventures UG (haftungsbeschränkt),https://play.google.com/store/apps/details?id=com.donutdog
Amazon Shopping,"4.4
star",Amazon Mobile LLC,https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping
"Remente: Self Care, Wellbeing","4.3
star",Remente,https://play.google.com/store/apps/details?id=com.remente.app
CapCut - Video Editor,"3.6
star",Bytedance Pte. Ltd.,https://play.google.com/store/apps/details?id=com.lemon.lvoverseas
Chore Focus: ADHD Task Manager,"3.8
star",Focus Forge,https://play.google.com/store/apps/details?id=com.chorefocus.app
Focus To-Do: Pomodoro & Tasks,"4.6
star",Pomodoro Timer & To Do List - SuperElement Soft,https://play.google.com/store/apps/details?id=com.superelement.pomodoro
MyFrontier,"4.4
star",Frontier Communications,https://play.google.com/store/apps/details?id=com.frontier.selfserve
Ahead: Emotions Coach,"4.5
star",Ahead App,https://play.google.com/store/apps/details?id=com.aheadsolutions.aHead
AirMirror: Remote control,"4.5
star",SAND STUDIO,https://play.google.com/store/apps/details?id=com.sand.airmirror
ADHD Planner AI Task: Splitti,"3.0
star",Nick Weissberg,https://play.google.com/store/apps/details?id=com.nick.weiss.Decomposer
Zomato: Food Delivery & Dining,"4.5
star",Zomato,https://play.google.com/store/apps/details?id=com.application.zomato
EndeavorOTC®: Outplay ADHD,"3.3
star","Akili Interactive Labs, Inc.",https://play.google.com/store/apps/details?id=com.akiliinteractive.t01a
Time Planner: Schedule & Tasks,"4.1
star",Oleksandr Albul,https://play.google.com/store/apps/details?id=com.albul.timeplanner
"Mail: Email, Cloud, Calendar","4.5
star",VKL,https://play.google.com/store/apps/details?id=ru.mail.mailapp
Structured - Daily Planner,"4.6
star",unorderly GmbH,https://play.google.com/store/apps/details?id=io.unorderly.structured
AppBlock - Block Apps & Sites,"4.6
star",MobileSoft s.r.o.,https://play.google.com/store/apps/details?id=cz.mobilesoft.appblock
Tiimo - Visual Daily Planner,"1.6
star",Tiimo,https://play.google.com/store/apps/details?id=com.tiimoapp.androidapp
Brili Routines – Habit Tracker,"4.1
star",Brili GmbH,https://play.google.com/store/apps/details?id=com.briliadult
Microsoft Authenticator,"4.6
star",Microsoft Corporation,https://play.google.com/store/apps/details?id=com.azure.authenticator
"Lusha, Kids ADHD Chore Tracker","4.2
star",Dygie,https://play.google.com/store/apps/details?id=com.Dygie.Lusha
Hiddify,"4.6
star",Hiddify,https://play.google.com/store/apps/details?id=app.hiddify.com
My ADHD,"2.9
star",Renan Sigolo Ferreira,https://play.google.com/store/apps/details?id=tk.tdah
"Primal's 3D Leg, Ankle & Foot",,PHARMA INTELLIGENCE U.K. LIMITED,https://play.google.com/store/apps/details?id=com.PrimalPictures.Foot2023
VOKA 3D Anatomy & Pathology,"4.2
star",Factory of innovations and solutions LLC,https://play.google.com/store/apps/details?id=com.innowise.pathology3d
Fight Injury Photo Editor,,Tools App For Daily Routine,https://play.google.com/store/apps/details?id=com.injury.prank.photo.image.editor.android
Couchsurfing Travel App,"3.3
star",Couchsurfing Inc.,https://play.google.com/store/apps/details?id=com.couchsurfing.mobile.android
Anatomy by M&M,"4.6
star",Muscle and Motion,https://play.google.com/store/apps/details?id=air.com.musclemotion.anatomy
Samsung Health,"3.6
star","Samsung Electronics Co.,  Ltd.",https://play.google.com/store/apps/details?id=com.sec.android.app.shealth
Boost Surfing,"3.4
star",Boost Surfing,https://play.google.com/store/apps/details?id=boost.surfing.android
AI Dermatologist: Skin Scanner,"4.2
star",Acina,https://play.google.com/store/apps/details?id=com.aidermatologist
Calm Urge: Self Harm Tracker,"4.5
star",Shining Muffin LLC,https://play.google.com/store/apps/details?id=com.wisefox.self.harm.tracker
Barefoot Surf,"4.2
star",Barefoot Surf,https://play.google.com/store/apps/details?id=com.barefootsurf.app
Ancestry: Family History & DNA,"4.6
star",Ancestry.com,https://play.google.com/store/apps/details?id=com.ancestry.android.apps.ancestry
I Am Sober,"4.8
star",I Am Sober LLC,https://play.google.com/store/apps/details?id=com.thehungrywasp.iamsober
Sky Surfing,"4.4
star",Macaca Games Inc.,https://play.google.com/store/apps/details?id=com.CloudMacaca.Flight
Sports Injury Rehabilitation,"2.4
star",www.sportsinjuryclinic.net,https://play.google.com/store/apps/details?id=com.sportsinjuryclinic.rehab.program
Calm Harm – manage self-harm,"4.3
star",stem4,https://play.google.com/store/apps/details?id=uk.org.stem4.calmharm
True Surf,"4.0
star",True Axis,https://play.google.com/store/apps/details?id=com.trueaxis.truesurf
Acupuncture Master,"3.9
star",Xian Vesal Digital Responsibility Co Ltd,https://play.google.com/store/apps/details?id=com.vesal.jlsx.international
Self Harm Tracker: Self Care,"4.7
star",Sunny Balcony LLC,https://play.google.com/store/apps/details?id=com.sunny.meditationcare
URGE FITNESS,,URGE FITNESS,https://play.google.com/store/apps/details?id=net.asf.urgefitness
Anatomymaster,"3.8
star",Xian Vesal Digital Responsibility Co Ltd,https://play.google.com/store/apps/details?id=com.vesal.anatomymasterin
Days Without Incidents,"4.3
star",codingale,https://play.google.com/store/apps/details?id=codingale.cr.dwi
Paris Turf: Pronostic hippique,"4.1
star",NJJ Project Twelve SA,https://play.google.com/store/apps/details?id=com.paristurf.live
Anatomyka - 3D Anatomy Atlas,"4.4
star",Woodoo Art s.r.o.,https://play.google.com/store/apps/details?id=com.anatomyka.android
Days Without,"4.2
star",Sinan Shaban,https://play.google.com/store/apps/details?id=com.sinan_shaban.days_without
DRAGON QUEST VI,"4.6
star
$14.99","SQUARE ENIX Co.,Ltd.",https://play.google.com/store/apps/details?id=com.square_enix.android_googleplay.dq6
Natural Remedies: healthy life,"4.7
star",Kaleidos Studio,https://play.google.com/store/apps/details?id=com.kaleidosstudio.natural_remedies
Injury Recovery Tracker,,InesTheTechie,https://play.google.com/store/apps/details?id=com.inesthetechie.recovery_tracker
Sober Time - Sober Day Counter,"4.8
star",Sociosoftware LLC,https://play.google.com/store/apps/details?id=com.sociosoft.sobertime
OMBE Surf,,OMBE,https://play.google.com/store/apps/details?id=tv.uscreen.ombesurf
Don't panic,"4.4
star",Nepanikař Tým,https://play.google.com/store/apps/details?id=org.dontpanic
healow,"4.6
star",eClinicalWorks LLC,https://play.google.com/store/apps/details?id=com.ecw.healow
Mood Tracker: Self-Care Habits,"4.8
star",Dairy App & Notes & Audio Editor & Voice Recorder,https://play.google.com/store/apps/details?id=moodtracker.selfcare.habittracker.mentalhealth
Grand Train Tour Switzerland,,MySwitzerland.com,https://play.google.com/store/apps/details?id=com.GrandTrainTour
Qatar Airways,"4.4
star",Qatar Airways,https://play.google.com/store/apps/details?id=com.m.qr
Sober Day Counter - Sunflower,"4.7
star",Sunflower Sober - Quit Tracker,https://play.google.com/store/apps/details?id=app.sunflowersober.com
MyClubplanner,,Club Planner BV,https://play.google.com/store/apps/details?id=com.myclubplanner.app
Sober Sidekick: Quit Addiction,"4.8
star",Empathy Health Tech,https://play.google.com/store/apps/details?id=com.sidekick.app.sobersidekick
Kaiser Permanente,"4.7
star",Kaiser Permanente,https://play.google.com/store/apps/details?id=org.kp.m
Quitzilla: Quit Habit Tracker,"4.7
star",despDev,https://play.google.com/store/apps/details?id=com.despdev.quitzilla
Grand Tour Switzerland,,MySwitzerland.com,https://play.google.com/store/apps/details?id=com.myswitzerland.grandtour
SoberBuddy: Sober Tracker,"4.8
star",SoberBuddy,https://play.google.com/store/apps/details?id=com.soberbuddy.app
SURGhub,,SURGhub,https://play.google.com/store/apps/details?id=com.globalsurgery.school
MyFitnessPal: Calorie Counter,"4.4
star","MyFitnessPal, Inc.",https://play.google.com/store/apps/details?id=com.myfitnesspal.android
Paris Turf: actualité hippique,"4.7
star",NJJ Project Twelve SA,https://play.google.com/store/apps/details?id=com.milibris.standalone.app.paristurf
Belle: Tracker & Self-Care,"4.8
star",Belle Health Ai Technologies Ltd,https://play.google.com/store/apps/details?id=co.bellehealth.bellehealth
Obsessed,,Obsessed App,https://play.google.com/store/apps/details?id=com.obsessed.obsessed
Harmy Fitness Studio,,QuiraSoftware,https://play.google.com/store/apps/details?id=com.quirasoftware.harmyfitnessstudio2
مساعدين هوم سيرف,,JTechSolutions,https://play.google.com/store/apps/details?id=com.jinni.homesurv.provider
"Calm - Sleep, Meditate, Relax","4.4
star","Calm.com, Inc.",https://play.google.com/store/apps/details?id=com.calm.android
"Symptom, Mood & Period Tracker","4.7
star",Bearable,https://play.google.com/store/apps/details?id=com.bearable
QuitSure: Quit Smoking Smartly,"4.3
star",QuitSure,https://play.google.com/store/apps/details?id=org.instaquit.app
Surfline: Wave & Surf Reports,"4.2
star","Surfline/Wavetrak, Inc.",https://play.google.com/store/apps/details?id=com.surfline.android
Arthritis Tracker,"2.7
star",Versus Arthritis,https://play.google.com/store/apps/details?id=com.vsarthritis
The Surfr. App,"4.1
star",Surfr B.V.,https://play.google.com/store/apps/details?id=com.kiter
mySugr - Diabetes Tracker Log,"4.6
star",mySugr GmbH,https://play.google.com/store/apps/details?id=com.mysugr.android.companion
Sleep Tracker - Sleep Recorder,"4.6
star",Leap Fitness Group,https://play.google.com/store/apps/details?id=sleeptrakcer.sleeprecorder.sleepapp.sleep
HudHud Trip: Flights & Hotels,,Yiata inc,https://play.google.com/store/apps/details?id=com.yiata.mobile
Heart Rate Monitor - HeartIn,"4.6
star",Vision Wizard,https://play.google.com/store/apps/details?id=com.visionwizard.pulse
Staying Alive Lu,,Le Bon Samaritain,https://play.google.com/store/apps/details?id=com.fdbs.stayingalive.lu
Symptom & Mood Tracker,"2.9
star",CareClinic Tracker & Reminder,https://play.google.com/store/apps/details?id=com.careclinicsoftware.careclinic
Quit Smoking Gradually,"4.5
star",Francisco Garibay,https://play.google.com/store/apps/details?id=com.franciscogaribay.quitsmokingalive
Smart Traveller,"3.1
star",Douane Tunisienne,https://play.google.com/store/apps/details?id=com.digitu.smart_traveller
‎MyPossibleSelf: Mental Health,"4.7
star",My Possible Self Ltd,https://play.google.com/store/apps/details?id=com.mypossibleself.app
SiS4,,PreviewLabs Inc,https://play.google.com/store/apps/details?id=com.previewlabs.sis4
FABU Self Care Emotion Tracker,"4.4
star",Zirafit Limited,https://play.google.com/store/apps/details?id=suitsme.fabu.app
samawa perfumes,,SamawaPerfumes,https://play.google.com/store/apps/details?id=co.shopney.samawaperfumes
Sleep Cycle: Sleep Tracker,"4.3
star",Sleep Cycle AB,https://play.google.com/store/apps/details?id=com.northcube.sleepcycle
YouRiding - Surf and Bodyboard,"4.1
star
$5.99","Boardscore, Inc.",https://play.google.com/store/apps/details?id=com.boardscore.youriding
Sobriety Tracker - Sober Days,"4.4
star",Techno information,https://play.google.com/store/apps/details?id=com.technoapps.quitaddiction
Africa Safari,,Afrika Safari B.V.,https://play.google.com/store/apps/details?id=com.proposalmeister.afrika_safari_trips.mobile
ShutEye®: Sleep Tracker,"4.6
star",ENERJOY PTE. LTD.,https://play.google.com/store/apps/details?id=health.sleep.sounds.tracker.alarm.calm
Pain Relief Hypnosis,"4.3
star",Surf City Apps,https://play.google.com/store/apps/details?id=com.surfcityapps.painrelief
Quit Tracker: Stop Smoking,"4.8
star",despDev,https://play.google.com/store/apps/details?id=com.despdev.quitsmoking
Lufthansa,"4.8
star",Lufthansa Group,https://play.google.com/store/apps/details?id=com.lufthansa.android.lufthansa
Lifesum: AI Calorie Tracker,"4.4
star",Lifesum,https://play.google.com/store/apps/details?id=com.sillens.shapeupclub
Surf Jump!,,ArtMind games,https://play.google.com/store/apps/details?id=com.ArtMindGames.SurfJump
Huckleberry: Baby & Child,"4.8
star",Huckleberry Labs,https://play.google.com/store/apps/details?id=com.huckleberry_labs.app
OpenRecovery: Addiction Help,"4.8
star",OpenRecovery,https://play.google.com/store/apps/details?id=com.twelve_steps.twelve_steps
Self Therapy: Mental Tests,"4.4
star",TANOS APPS,https://play.google.com/store/apps/details?id=com.tanosapps.meditanos
World Surf League,"3.8
star",World Surf League,https://play.google.com/store/apps/details?id=com.wsl.android
Gulf Air,"3.4
star",Gulf Air B.S.C. (C),https://play.google.com/store/apps/details?id=com.gulfair.android
Finch: Self-Care Pet,"4.9
star",Finch Care Public Benefit Corporation,https://play.google.com/store/apps/details?id=com.finch.finch
Unprocessed,,Neurture LLC,https://play.google.com/store/apps/details?id=com.neurture.freedom
"Strava: Run, Bike, Hike","4.3
star",Strava Inc.,https://play.google.com/store/apps/details?id=com.strava
Sleep Monitor: Sleep Tracker,"4.3
star",Fasting APP Group,https://play.google.com/store/apps/details?id=com.sleepmonitor.aio
Switzerland Travel Guide,"4.3
star",Tours & Travel Inc.,https://play.google.com/store/apps/details?id=com.etips.switzerland.travel.guide
Pulsebit: Heart Rate Monitor,"4.4
star",Gototop LTD,https://play.google.com/store/apps/details?id=com.reflectio.io
Louvre Hotels Group,,Mobile - Louvre Hotels Group,https://play.google.com/store/apps/details?id=com.louvrehotels.refontapp.prod
Meds & Pill Reminder MyTherapy,"4.7
star",MyTherapy,https://play.google.com/store/apps/details?id=eu.smartpatient.mytherapy
Ulule Camp de base,,Ulule,https://play.google.com/store/apps/details?id=com.campdebase.ulule
Calorie Counter - MyNetDiary,"4.7
star",MyNetDiary.com,https://play.google.com/store/apps/details?id=com.fourtechnologies.mynetdiary.ad
Breeze: Start Self-Discovery,"4.2
star",Basenji Apps,https://play.google.com/store/apps/details?id=com.basenjiapps.breeze
Habit Tracker,"4.4
star",App Holdings,https://play.google.com/store/apps/details?id=com.oristats.habitbull
Dubai Travel Guide,"4.8
star",Tours & Travel Inc.,https://play.google.com/store/apps/details?id=com.etips.dubai.travel.guide
Human Health Tracker,"4.2
star",Human Operations Pty Ltd,https://play.google.com/store/apps/details?id=health.human.app
Louvre Hotels Group,,Mobile - Louvre Hotels Group,https://play.google.com/store/apps/details?id=com.louvrehotels.app
Life Notes - Symptom Tracking,"4.6
star",Seb Ferrer,https://play.google.com/store/apps/details?id=com.sebferrer.life_notes
Berniq,"4.0
star",Berniq Airways,https://play.google.com/store/apps/details?id=com.berniq.app
Go Voyages: Vols et Hôtels,"4.1
star",GoVoyages,https://play.google.com/store/apps/details?id=go.voyage
AgeFactor: Daily Habit Tracker,,Bayer AG,https://play.google.com/store/apps/details?id=com.bayer.ch.odagefactor
الخرائط السياحية ستور,"5.0
star",الخرائط السياحية Tourist Maps,https://play.google.com/store/apps/details?id=com.salla.gpsksa
Mind Tracker,"4.2
star",MIND TRACKER PTE. LTD.,https://play.google.com/store/apps/details?id=com.fedosov.mindtracker
Guichet Check-In,,GUICHET MAROC,https://play.google.com/store/apps/details?id=com.guichet.checkin
Forest: Focus for Productivity,"4.5
star",Seekrtech,https://play.google.com/store/apps/details?id=cc.forestapp
Kuwait Airways,"3.8
star",Kuwait Airways,https://play.google.com/store/apps/details?id=com.kuwaitairways.mapps
Inmigreat Case Tracker,"4.8
star",Inmigreat LLC,https://play.google.com/store/apps/details?id=com.changayaf.inmigreat
BetterSleep: Sleep tracker,"4.5
star",Ipnos Software,https://play.google.com/store/apps/details?id=ipnossoft.rma.free
Mood Tracker Daily Journal CBT,"4.4
star",Reflexio Team,https://play.google.com/store/apps/details?id=diary.questions.mood.tracker
Focus Plant: Pomodoro Forest,"4.5
star",Shikudo - Walking and Focus Games,https://play.google.com/store/apps/details?id=com.shikudo.focus.google
Focus Tree - Focus Timer,"4.6
star",Focus Tree,https://play.google.com/store/apps/details?id=focustree.app
Focus Now - Pomodoro Timer,,ferdinand obermeier,https://play.google.com/store/apps/details?id=com.ferdinandobermeier.focusmate
ADHD in Adults,"4.2
star",Ingenium Digital,https://play.google.com/store/apps/details?id=com.ingenium.adhdpatientapp
neurolist꞉ AI Planner for ADHD,"4.5
star",System Two GmbH,https://play.google.com/store/apps/details?id=neurolist.app.neurolist
Happy Kids Timer Chores,"4.2
star",Kids Smart Zone,https://play.google.com/store/apps/details?id=com.evoprox.morningroutines
Engross: Focus Timer & To-Do,"4.4
star",Engross Apps,https://play.google.com/store/apps/details?id=com.engross
Suicide Safety Plan,"4.1
star",Inquiry Health LLC,https://play.google.com/store/apps/details?id=com.moodtools.crisis.app
Understood: Support ADHD Kids,"4.5
star","Understood for All, Inc.",https://play.google.com/store/apps/details?id=org.understood.community
Crisis Messenger,,Crisis24 (Crisis Consulting),https://play.google.com/store/apps/details?id=com.crisis24.CrisisMessenger
In Case of Crisis,"2.8
star","RockDove Solutions, Inc.",https://play.google.com/store/apps/details?id=com.iba.incaseof
Crisis Tutorial,,Jump Innovations,https://play.google.com/store/apps/details?id=nl.jump.crisistutorial
Crisis Cleanup,,Crisis Cleanup,https://play.google.com/store/apps/details?id=com.crisiscleanup.prod
Crisis24 Horizon Mobile,"3.7
star",Crisis24 Inc.,https://play.google.com/store/apps/details?id=com.crisis24.horizon
Cuddle Crisis,"4.3
star","Incredible Technologies, Inc.",https://play.google.com/store/apps/details?id=com.itsgames.carnivalking
Child Safety App,"2.4
star",Pulse Solutions Team,https://play.google.com/store/apps/details?id=app.childsafetytracker
First Aid - IFRC,"4.4
star",IFRC,https://play.google.com/store/apps/details?id=com.cube.gdpc.fa
7 Cups: Online Therapy & Chat,"3.6
star",7 Cups of Tea,https://play.google.com/store/apps/details?id=com.sevencupsoftea.app
Music for Focus by Brain.fm,"4.2
star",Brain.fm,https://play.google.com/store/apps/details?id=com.brainfm.app
MindDoc: Mental Health Support,"4.2
star",MindDoc Health,https://play.google.com/store/apps/details?id=de.moodpath.android
Honkai: Star Rail,"3.2
star",COGNOSPHERE PTE. LTD.,https://play.google.com/store/apps/details?id=com.HoYoverse.hkrpgoversea
Flipd: Focus & Study Timer,"3.1
star",Flipd Apps,https://play.google.com/store/apps/details?id=com.flipd.app
OCD Mantra : OCD treatment App,,Mantra Care,https://play.google.com/store/apps/details?id=org.mantracare.ocd
Minimalist Pomodoro Timer,"4.7
star",Goodtime,https://play.google.com/store/apps/details?id=com.apps.adrcotfas.goodtime
What's Up? - Mental Health App,"3.6
star",Jackson Tempra,https://play.google.com/store/apps/details?id=com.jacksontempra.apps.whatsup
Kids Chores Tracker To Do List,"4.4
star",NEATKID KIDS CHORE TRACKER AND REWARD CHART,https://play.google.com/store/apps/details?id=io.neatkid.android
"OCD.app Anxiety, Mood & Sleep","3.6
star",Ggtude Ltd,https://play.google.com/store/apps/details?id=air.com.samuramu.gg.oc
My SOS Family Emergency Alerts,"3.8
star",My SOS Family Ltd,https://play.google.com/store/apps/details?id=com.mysosfamily
CENTEGIX CrisisAlert,"3.4
star",Centegix,https://play.google.com/store/apps/details?id=com.centegix.flight.responder
NewsBreak: Local News & Alerts,"4.6
star",Particle Media Inc.,https://play.google.com/store/apps/details?id=com.particlenews.newsbreak
CBT Companion: Therapy app,"4.4
star","Resiliens, Inc",https://play.google.com/store/apps/details?id=co.swasth.cbtcompanion
Clarity - CBT Thought Diary,"3.7
star",Inquiry Health LLC,https://play.google.com/store/apps/details?id=com.moodtools.cbtassistant.app
Panic Attack Help - Mind Ease,"4.2
star",Mind Ease Labs Ltd,https://play.google.com/store/apps/details?id=com.sparkwave.mindease
ME/CFS Pacing,"3.4
star",EmergeAus,https://play.google.com/store/apps/details?id=au.org.emerge.pacing
Talkspace Therapy & Counseling,"4.6
star",Talkspace,https://play.google.com/store/apps/details?id=com.talkspace.talkspaceapp
NSC First Aid Reference Guide,"4.1
star",The National Safety Council,https://play.google.com/store/apps/details?id=com.coreaxis
My Sleep Affirmations,"3.9
star",Anzaro Quantum Healing,https://play.google.com/store/apps/details?id=com.mysleep.my_sleep_affirmations
Peanut App,"3.8
star",Peanut App Ltd,https://play.google.com/store/apps/details?id=com.teampeanut.peanut
Cure 4 CF,,The Cystic Fibrosis Foundation,https://play.google.com/store/apps/details?id=com.nuclavis.cff
TalkLife: Peer Support,"3.7
star",TalkLife Ltd,https://play.google.com/store/apps/details?id=com.bearpty.talklife
Intellect: Create A Better You,"4.6
star",The Intellect Company,https://play.google.com/store/apps/details?id=co.intellect.app
Grand War 2: Strategy Games,"4.5
star",Joynow Studio,https://play.google.com/store/apps/details?id=com.napoleon.strategy.war.games
Death Coming,"2.9
star",NExT Studios,https://play.google.com/store/apps/details?id=com.nextstudio.xdeathcoming
Toribash - Violence Perfected,"4.8
star",Nabi Studios Pte Ltd,https://play.google.com/store/apps/details?id=com.nabistudios.toribash
Crime Life Simulator -Text GTA,"4.9
star",Hao Shen,https://play.google.com/store/apps/details?id=com.hao.hun.usa
League of Legends: Wild Rift,"3.2
star","Riot Games, Inc",https://play.google.com/store/apps/details?id=com.riotgames.league.wildrift
Kick the Buddy－Fun Action Game,"4.2
star",Playgendary Limited,https://play.google.com/store/apps/details?id=com.playgendary.kickthebuddy
Kingdom Rush Tower Defense TD,"4.7
star",Ironhide Games,https://play.google.com/store/apps/details?id=com.ironhidegames.android.kingdomrush
Guns of Glory: Lost Island,"4.3
star",FunPlus International AG,https://play.google.com/store/apps/details?id=com.diandian.gog
The Walking Dead No Man's Land,"4.5
star",Deca Games,https://play.google.com/store/apps/details?id=com.nextgames.android.twd
Empires & Puzzles: Dragon Dawn,"4.5
star",Small Giant Games,https://play.google.com/store/apps/details?id=com.smallgiantgames.empires
Dark War Survival,"4.3
star",Florere Game,https://play.google.com/store/apps/details?id=com.readygo.dark.gp
Age of Empires Mobile,"4.2
star",Level Infinite,https://play.google.com/store/apps/details?id=com.proximabeta.aoemobile
Alliance at War Ⅱ,"3.9
star",Hour Games,https://play.google.com/store/apps/details?id=games.war.strategy.dragon.clash.aaw.hourgames
Self-Service Knight : idle RPG,"4.3
star",CookApps,https://play.google.com/store/apps/details?id=com.cookapps.ssknight
Fallout Shelter,"4.6
star",Bethesda Softworks LLC,https://play.google.com/store/apps/details?id=com.bethsoft.falloutshelter
Chaos Lords: Medieval RPG War,"4.1
star",Digital Pill,https://play.google.com/store/apps/details?id=games.dpill.chaoslords
The Grand Mafia,"4.5
star",Phantix Games,https://play.google.com/store/apps/details?id=com.yottagames.gameofmafia
Diary with Fingerprint Lock,"4.7
star",Outthinking Pvt Ltd,https://play.google.com/store/apps/details?id=diary.diarywithlock.diaryforgirls
Into the Dead 2,"4.6
star",PIKPOK,https://play.google.com/store/apps/details?id=com.pikpok.dr2.play
My Diary - Daily Journal Lock,"4.6
star",Trusted PDF Tools,https://play.google.com/store/apps/details?id=com.daily.journal.private.diary.lock.notebook
Apex Girl,"4.4
star",A3Games,https://play.google.com/store/apps/details?id=com.a3.topgirl.gplay
