cluster	n_apps	cumulative_count	silhouette_score	app_names	top_terms	top_features	top_indications	top_demographics
cluster_22	21	161	0.1738900648036468	Unprocessed, Shape: Healthy Eating Journal, Nourish: Eating Well Made Easy, Worth Warrior: help body image, Binge Eating Disorder Test, Bertie - Binge Eating Recovery, Shutterbite: Mindful Eating, Chewing Diet, Resilience eDBT, Intuitive Eating Journal Munch, Pomellow - ED recovery friend, Ate Food Journal & Photo Diary, SociEATy: Non-Diet Wellness, Eating Disorder Support, RR Eating Disorder Management, Brighter Bite - Eating Disorde, Eating Disorder Test, Recovered: ED Recovery, R.care - Binge Eating Recovery, Intuitive Eating Buddy & Diary, Thora: Manage Binge Eating	{'eating': np.float64(0.532000114826815), 'food': np.float64(0.21685300499189053), 'binge': np.float64(0.12577349724818898), 'disorders': np.float64(0.09610260475636072), 'eat': np.float64(0.08680992841310842), 'disorder': np.float64(0.08014301096654342), 'body': np.float64(0.07364450399447169), 'recovery': np.float64(0.058633113776182334), 'journal': np.float64(0.05245011231673731), 'mindful': np.float64(0.05159268499839985)}	{'Journaling': 12, 'Educational Content': 13, 'Other': 10, 'Talk Therapy / Coaching - Clinician': 1, 'Assessment': 8, 'Talk Therapy / Coaching - AI/Digital': 3}	{'Eating Disorders': 20, 'General': 5}	{'General': 20, 'Youth': 1, 'Neurodivergent': 1}
cluster_1	33	194	0.17204823112982956	SleepTracker: Record & Improve, BetterSleep: Sleep tracker, Atom: Sleep, Insomnia, CBT, Sleep Cycle: Sleep Tracker, Sleep Tracker: Sleep Cycle, Sleepiest: Bedtime Stories, Smart Sleep Coach by Pampers™, Sleep Monitor: Sleep Tracker, SleepisolBio: sleep, alarm, RISE: Sleep Tracker, Insomnia Coach, Nightly: AI Sleep Sounds, Loóna: Bedtime relax & Sleep, Pocket Kado: Sleep & Relax Pet, Calm Sleep Sounds & Tracker, Sleep Reset: CBT for Insomnia, Slumber: Fall Asleep, Insomnia, Sleep Tracker & Sleep Recorder, Sleep Routine: Tracker, Alarm, Sleep School: Insomnia Help, Sleep Tracker and Sleep Cycle, Sleep Restore, Doze - Sleep Sounds & Stories, DeepRest: Sleep Tracker, Sleep Tracker - Sleep Recorder, Pzizz - Sleep, Nap, Focus, Sleepwave: Alarm & Tracker, No Insomnia: CBT & Sleep Coach, sleep² sleeptracker & analysis, Stellar Sleep - Insomnia CBT, Avrora Sleep Sounds & Stories, Sleep Tracker - Sleep Cycle, Sleep Well Hypnosis Downloads	{'sleep': np.float64(0.6535854518741281), 'sounds': np.float64(0.09561228317511752), 'insomnia': np.float64(0.09432187219092289), 'wake': np.float64(0.07974859460671185), 'asleep': np.float64(0.07814561470467124), 'alarm': np.float64(0.06589115959038389), 'tracker': np.float64(0.061703325243425616), 'fall': np.float64(0.06084795612643908), 'night': np.float64(0.05611833708296763), 'stories': np.float64(0.052679780356748585)}	{'Soothing Audio': 20, 'Meditation': 10, 'Games': 2, 'Educational Content': 9, 'Assessment': 12, 'Other': 19, 'Talk Therapy / Coaching - Clinician': 1, 'Mood Tracking': 3, 'Talk Therapy / Coaching - AI/Digital': 3}	{'Sleep': 32, 'General': 5, 'Anxiety': 3, 'Trauma / PTSD': 1}	{'General': 32, 'Parents': 1, 'Veterans': 1}
cluster_29	12	206	0.16882475715060272	Panic Disorder Test, Panickly - Panic Attack Help, PanicShield - Panic Attack Aid, Panic Attack Help - Mind Ease, Anxiety Tracker - Mood Journal, Anxiety & Panic Relief: Calmer, Soolo - Panic Attack & Anxiety, Rootd - Anxiety & Panic Relief, Mindable: Panic & Agoraphobia, Don't panic, Dare: Anxiety & Panic Attacks, Stress relief and panic attack	{'panic': np.float64(0.5101967455374894), 'attacks': np.float64(0.24579565508771264), 'anxiety': np.float64(0.2024207881099352), 'relief': np.float64(0.0848585591241947), 'app': np.float64(0.0732835111500863), 'disorder': np.float64(0.07049374040499251), 'breathing': np.float64(0.06737551593170166), 'help': np.float64(0.058530734201410556), 'calmer': np.float64(0.05787907149244666), 'stress': np.float64(0.05577842615752295)}	{'Assessment': 4, 'Talk Therapy / Coaching - AI/Digital': 8, 'Mood Tracking': 3, 'Educational Content': 5, 'Other': 6, 'Meditation': 3, 'Journaling': 2, 'Vocalization/Breathwork': 2}	{'Panic Disorder': 3, 'Anxiety': 10, 'Depression & Mood Disorders': 3, 'Agoraphobia': 1, 'Self-Harm': 1, 'Panic Attacks': 1, 'General': 1}	{'General': 12}
cluster_4	22	228	0.15705327811861733	Beats & Breath, SOMA Breath: Guided Breathwork, Breathing Zone, One Deep Breath: Relax & Sleep, Pranayama : Breathing Exercise, Breathwork - Breather Coach, Awesome Breathing: Pacer Timer, RESPIRA: Breathing Exercises, Pranaria - Breathing exercise, forYou breath: breath to relax, Paced Breathing, Breath Ball Stress Relieve, Rhythmic Breathing. Meditation, Othership: Guided Breathwork, Prana Breath: Calm & Meditate, Better Breathe, Breathe • Calm down • Meditate, Breathwrk: Breathing Exercises, Open Breathwork Freely Breathe, Breathe: relax & focus, The Breathing App: Resonance, Breathing Exercises(Pranayama)	{'breathing': np.float64(0.44550226420663175), 'breath': np.float64(0.2787586712385345), 'breathwork': np.float64(0.16703423402939166), 'breathe': np.float64(0.0900295353388258), 'exercises': np.float64(0.08670691712419892), 'pranayama': np.float64(0.0863231027127446), 'stress': np.float64(0.06890781509363969), 'app': np.float64(0.06309693206229844), 'anxiety': np.float64(0.058218306619326705), 'exercise': np.float64(0.056524584499456944)}	{'Vocalization/Breathwork': 22, 'Soothing Audio': 2, 'Meditation': 11, 'Other': 11, 'Assessment': 1}	{'Anxiety': 15, 'Sleep': 7, 'General': 12, 'Stress': 2, 'Depression & Mood Disorders': 1}	{'General': 22, 'Youth': 1}
cluster_38	17	245	0.15623637842191002	PTSD Test, PTSD Coach Explorer, Bust PTSD, PTSD Coach Explorer 2, Stay Quit Coach, PTSD Help, PTSD Keys, Beyond MST, PE Coach 2, PTSD Family Coach, PTSD Coach Canada, PTSD Coach, CPT Coach, PTSD, המדריך ל-PTSD, PTSD INFO, Veterans Wellness Path	{'ptsd': np.float64(0.5508925280845849), 'coach': np.float64(0.18155493947871912), 'trauma': np.float64(0.1231372162623215), 'app': np.float64(0.10783511153015082), 'center': np.float64(0.08460229827226445), 'information': np.float64(0.07569013151887143), 'symptoms': np.float64(0.06817780096087085), 'traumatic': np.float64(0.06803273918942486), 'stress': np.float64(0.06466491586408059), 'disorder': np.float64(0.06275839725135839)}	{'Assessment': 8, 'Other': 12, 'Talk Therapy / Coaching - AI/Digital': 1, 'Talk Therapy / Coaching - Clinician': 6, 'Educational Content': 7, 'Soothing Audio': 1, 'Meditation': 1, 'Vocalization/Breathwork': 1, 'Games': 1}	{'Trauma / PTSD': 15, 'Anxiety': 1, 'Depression & Mood Disorders': 1, 'General': 4, 'Substance Use': 1, 'PTSD': 1}	{'General': 11, 'Veterans': 7}
cluster_32	12	257	0.1529501949370207	oVRcome, Overcome Your Fears, Fear of Spiders Therapy, Overcoming Fears, EmetoHero - Exposure Therapy, Rejecto: Rejection Missions, ZeroPhobia - Fear of Flying, ZeroPhobia - Fear of Heights, Phobia Treatments - Guide, Clear Fear, ZeroPhobia - Fear of Spiders, Overcome your fears	{'fear': np.float64(0.4919351962061761), 'fears': np.float64(0.2289923070775556), 'exposure': np.float64(0.11724123742087093), 'therapy': np.float64(0.0936991922072754), 'overcome': np.float64(0.06094658759583946), 'treatment': np.float64(0.053094230990089884), 'life': np.float64(0.050018210605869966), 'step': np.float64(0.04983811541901862), 'virtual': np.float64(0.04964461440859605), 'safe': np.float64(0.04931406866700651)}	{'Talk Therapy / Coaching - AI/Digital': 6, 'Educational Content': 6, 'Other': 6, 'Assessment': 1, 'Games': 1, 'Talk Therapy / Coaching - Clinician': 1}	{'Phobias': 9, 'Anxiety': 5}	{'General': 11, 'Youth': 1}
cluster_48	8	265	0.14971419916485249	Pulsebit: Heart Rate Monitor, Welltory: Heart Rate Monitor, Monitor Heart, Stress & Breath, Oura, Heart Rate Monitor - HeartIn, Elite HRV: Wellness & Fitness, Optimal HRV, MindBreath- Breathing & HRV	{'hrv': np.float64(0.3901047104501268), 'heart': np.float64(0.312675609374055), 'rate': np.float64(0.23089784938896524), 'stress': np.float64(0.1425015390234057), 'blood': np.float64(0.10799366067835174), 'health': np.float64(0.10385313165838139), 'breathing': np.float64(0.09570161231820018), 'monitor': np.float64(0.0956360512684438), 'pressure': np.float64(0.07912488653213076), 'watch': np.float64(0.07423003877836847)}	{'Assessment': 4, 'Mood Tracking': 3, 'Vocalization/Breathwork': 2, 'Other': 5, 'Meditation': 1}	{'Anxiety': 4, 'General': 4, 'Stress': 1}	{'General': 8}
cluster_31	11	276	0.14537279967019948	Bipolar Test+, Test for Autism - Fast Check, Dr.Mind: Mental Health Tests, Mental Health Test, Schizophrenia Test (Psychosis), Autism Evaluation Checklist, Autism Test (Adult), Psychological Assessment Test, Bipolar Test, Mental Health Tests, Psychiatric Test	{'test': np.float64(0.5202213107902668), 'disorder': np.float64(0.262464667280072), 'bipolar': np.float64(0.15904126567701934), 'mental': np.float64(0.08764051846478549), 'assessment': np.float64(0.08079402965497688), 'children': np.float64(0.0739142028888169), 'diagnosis': np.float64(0.07353843759507726), 'health': np.float64(0.06769833081637433), 'application': np.float64(0.0592700810682463), 'tests': np.float64(0.05239832133385089)}	{'Assessment': 11, 'Other': 5, 'Educational Content': 3}	{'Bipolar Disorder': 2, 'ADHD / ADD': 1, 'General': 8, 'Schizophrenia': 1}	{'General': 9, 'Children': 2, 'Parents': 1}
cluster_34	17	293	0.1439133895830227	ADHD Sounds: Focus & Sleep, Sleep Sounds - Relax Music, Sleep Way – dream, white noise, Serene: Get Calm, Sleep Better, Sleep Jar - Sounds and Stories, Sleep Sounds, Sleep sounds offline, Noise Machine - Green, White, Ambiance by Fabulous, Sleep & Sounds - Relax Music, Sleep Sounds & White Noise, Healing Sounds & Sound Therapy, Atmosphere: Relaxing Sounds, Relaxing Night Nature Sounds, Hypnosis Relax & Meditation, Sleep Sounds - relaxing sounds, myNoise | Focus. Relax. Sleep.	{'sounds': np.float64(0.48919003482590684), 'sleep': np.float64(0.29417603861469593), 'noise': np.float64(0.18373690775376503), 'sound': np.float64(0.15002573397444532), 'rain': np.float64(0.13674859754024546), 'white': np.float64(0.1015008928290547), 'meditation': np.float64(0.09960974129604346), 'soothing': np.float64(0.09615992494535566), 'nature': np.float64(0.09551959360783947), 'relaxation': np.float64(0.07969322725770611)}	{'Soothing Audio': 17, 'Other': 4, 'Meditation': 10}	{'ADHD / ADD': 1, 'Sleep': 13, 'Anxiety': 7, 'General': 2, 'Stress': 1}	{'Neurodivergent': 1, 'General': 16}
cluster_19	21	314	0.14360261101848978	Discover Personality, TestHub: IQ, Mind, Personality, 40+ Psychological Tests, Psychological personality test, Psychology Master, Personality & Psychology Tests, Personality Disorders Test, Psychotests, personality tests, Discover Yourself: Serene, Narcissistic Personality, Personality Test with Images, Psychological tests., Psychology Tests, PersonaAI - Personality Test, Know Yourself Personality Test, Narcissistic Personality Test, Personality Disorders Test, Mindberg: Jungian Psychology, Narcissistic Personality, PsyTests, Personality & Psychology Tests	{'personality': np.float64(0.4459134628115682), 'tests': np.float64(0.26508806729995416), 'test': np.float64(0.1831286056050691), 'traits': np.float64(0.12097297861434217), 'psychology': np.float64(0.11739056603231739), 'psychological': np.float64(0.11303058359302744), 'self': np.float64(0.08599905531147367), 'insights': np.float64(0.061370290985934724), 'disorders': np.float64(0.052002472602170474), 'assessment': np.float64(0.048899169927296184)}	{'Assessment': 19, 'Educational Content': 16, 'Other': 9, 'Journaling': 1}	{'General': 20, 'Personality Disorders': 2, 'Anxiety': 1, 'Depression & Mood Disorders': 1}	{'General': 21}
cluster_20	26	340	0.13120538172065688	Executive Function Magazine, Understood: Support ADHD Kids, Univi: ADHD Management & Focus, Clarify: ADHD Organizer & help, ADHD Test: Science based & fun, RoutineFlow: Routine for ADHD, ADHD Lifehacks For Adults, ADHD Planner AI Task: Splitti, OrganizeMe: ADHD BulletJournal, Magic Task: ADHD AI to do list, Adult ADHD Test, Yoodoo: ADHD Daily Planner, My ADHD, Focus Quest: Pomodoro adhd app, Llama Life ADHD Routine & Task, ADHD in Adults, ADHD Test, Inflow ADHD, Shimmer: ADHD Coaching, ADHD Easy-Do your ADHD Planner, ModernSam: LVL up your life, FocusGenie, ADHD Reminder, dubbii: the body doubling app, Brili Routines – Habit Tracker, EndeavorOTC®: Outplay ADHD	{'adhd': np.float64(0.4868292009562521), 'tasks': np.float64(0.12113467473263834), 'task': np.float64(0.10690958889073941), 'focus': np.float64(0.07788809982761426), 'productivity': np.float64(0.0728439686840933), 'add': np.float64(0.07244370389862043), 'routines': np.float64(0.06143742108100015), 'timer': np.float64(0.05934965079732989), 'time': np.float64(0.05594407021865981), 'attention': np.float64(0.054746585285520254)}	{'Educational Content': 6, 'Talk Therapy / Coaching - Clinician': 2, 'Assessment': 9, 'Talk Therapy / Coaching - AI/Digital': 6, 'Other': 14, 'Journaling': 1, 'Games': 5, 'Mood Tracking': 1, 'Meditation': 1, 'Affirmations/Inspiration': 1}	{'ADHD / ADD': 24, 'Anxiety': 2, 'General': 6}	{'Neurodivergent': 17, 'Parents': 1, 'General': 7, 'Adults': 1, 'Youth': 3}
cluster_15	19	359	0.12958244016739529	Sober, Sober Sidekick: Quit Addiction, Sobriety Tracker - Sober Days, Clean Time App, My Spiritual Toolkit AA Steps, Loosid: Sober Recovery Network, Calm Urge: Self Harm Tracker, TLC: Sobriety Support, AA Sponsor: AI Sobriety, SoberBuddy: Sober Tracker, Sober Day Counter - Sunflower, I Am Sober, Sober Time - Sober Day Counter, Quitzilla: Quit Habit Tracker, Quitvana - Quit Addiction, Sober Today, Sober: Sobriety Habit Tracker, Sober Up - Addiction Tracker, Sober Tracker: Quit Alcohol	{'sober': np.float64(0.40056664022164046), 'sobriety': np.float64(0.3018164109045027), 'addiction': np.float64(0.1315520985684619), 'quit': np.float64(0.11780398514003637), 'alcohol': np.float64(0.11228789904538827), 'tracker': np.float64(0.10016861969405941), 'recovery': np.float64(0.09472500991340524), 'counter': np.float64(0.09016154041557856), 'days': np.float64(0.08082086722574185), 'clean': np.float64(0.07386130533978799)}	{'Talk Therapy / Coaching - AI/Digital': 3, 'Other': 15, 'Talk Therapy / Coaching - Peer': 5, 'Assessment': 8, 'Educational Content': 1, 'Mood Tracking': 2, 'Journaling': 1}	{'Substance Use': 17, 'Self-Harm': 2, 'General': 4}	{'General': 19}
cluster_3	14	373	0.12665542944105598	Try Dry: Dry January® & beyond, Reframe: Cut Back on Alcohol, Sunnyside: Drink Less Alcohol, Daybreak - Alcohol Support, DrinkControl - Alcohol Tracker, Pelago, Harm Reduction for Alcohol, Sober: Quit Drinking Hypnosis, UM: Easily Drink Less Alcohol, Dry Days by AlcoChange, Sobriety Counter -EasyQuit pro, VetChange, DWA: Sobriety counter, Sobriety Counter - EasyQuit	{'drinking': np.float64(0.3691530412331935), 'alcohol': np.float64(0.36089261713846044), 'drink': np.float64(0.12947010390718466), 'substance': np.float64(0.08511471609057555), 'quit': np.float64(0.08428129779285477), 'days': np.float64(0.07982540116808029), 'sobriety': np.float64(0.07842743118828285), 'money': np.float64(0.07591881703235838), 'use': np.float64(0.0729778428315385), 'sober': np.float64(0.07048084943387746)}	{'Assessment': 5, 'Other': 12, 'Talk Therapy / Coaching - AI/Digital': 5, 'Talk Therapy / Coaching - Peer': 1, 'Educational Content': 2, 'Mood Tracking': 3, 'Talk Therapy / Coaching - Clinician': 1}	{'Substance Use': 14, 'General': 7}	{'General': 13, 'Veterans': 2}
cluster_30	12	385	0.11857936450710961	Pregnancy After Loss App, Nara - Baby & Mom Tracker, Motherocity Postpartum Tracker, LEIA Health: for new mothers, Carea: Pregnancy Tracker, Connect by PSI, Prenatal & Postpartum Workout, Regence Pregnancy Program, HiMommy: Ovulation & Pregnancy, Postpartum, Pregnancy Tracker & Baby App, Humm Care	{'pregnancy': np.float64(0.377141875799403), 'postpartum': np.float64(0.31668853280433357), 'baby': np.float64(0.24384701341326442), 'support': np.float64(0.09205951046509143), 'women': np.float64(0.08370207535083994), 'health': np.float64(0.082765629142481), 'parents': np.float64(0.07177268507214045), 'care': np.float64(0.06747981720390193), 'loss': np.float64(0.06042460250504102), 'recovery': np.float64(0.05758276467149885)}	{'Educational Content': 9, 'Journaling': 2, 'Other': 10, 'Assessment': 2, 'Talk Therapy / Coaching - Peer': 2, 'Games': 1, 'Talk Therapy / Coaching - AI/Digital': 1}	{'Grief': 1, 'General': 11, 'Depression & Mood Disorders': 1}	{'Pregnant Women / Mothers': 12, 'Parents': 2, 'Women': 1, 'General': 1}
